Manholes 234
    id        x        y          z  outlet   wwtp
  16.0   7750.0    250.0   2.654398     0.0  371.0
  17.0   8250.0    250.0   3.576558     0.0  371.0
  36.0   7250.0    750.0   2.322404     0.0  371.0
  37.0   7750.0    750.0   4.175887     0.0  371.0
  38.0   8250.0    750.0   2.483950     0.0  371.0
  39.0   8750.0    750.0   4.688854     0.0  371.0
  57.0   7250.0   1250.0   2.196181     0.0  371.0
  58.0   7750.0   1250.0   1.853754     0.0  371.0
  59.0   8250.0   1250.0   2.520515     0.0  371.0
  60.0   8750.0   1250.0   9.975230     0.0  371.0
  78.0   7250.0   1750.0   2.088877     0.0  371.0
  79.0   7750.0   1750.0   3.501745     0.0  371.0
  80.0   8250.0   1750.0   6.894789     0.0  371.0
  81.0   8750.0   1750.0  10.903793     0.0  371.0
  82.0   9250.0   1750.0  17.475920     0.0  371.0
  99.0   7250.0   2250.0   2.410870     0.0  371.0
 100.0   7750.0   2250.0   8.447873     0.0  371.0
 101.0   8250.0   2250.0   8.000091     0.0  371.0
 102.0   8750.0   2250.0   9.139778     0.0  371.0
 103.0   9250.0   2250.0  16.719846     0.0  371.0
 119.0   6750.0   2750.0   3.459221     0.0  371.0
 120.0   7250.0   2750.0   4.879342     0.0  371.0
 121.0   7750.0   2750.0   5.337527     0.0  371.0
 122.0   8250.0   2750.0   6.059615     0.0  371.0
 123.0   8750.0   2750.0  10.142997     0.0  371.0
 124.0   9250.0   2750.0  16.372993     0.0  371.0
 125.0   9750.0   2750.0  25.372525     0.0  371.0
 140.0   6750.0   3250.0   5.336028     0.0  371.0
 141.0   7250.0   3250.0  13.471518     0.0  371.0
 142.0   7750.0   3250.0  15.990291     0.0  371.0
 143.0   8250.0   3250.0  13.899875     0.0  371.0
 144.0   8750.0   3250.0  15.587069     0.0  371.0
 145.0   9250.0   3250.0  24.088925     0.0  371.0
 146.0   9750.0   3250.0  34.820417     0.0  371.0
 147.0  10250.0   3250.0  37.230785     0.0  371.0
 159.0   5750.0   3750.0   1.032436     0.0  371.0
 160.0   6250.0   3750.0   1.884706     0.0  371.0
 161.0   6750.0   3750.0   2.603217     0.0  371.0
 162.0   7250.0   3750.0  10.132261     0.0  371.0
 163.0   7750.0   3750.0  19.606474     0.0  371.0
 164.0   8250.0   3750.0  20.740922     0.0  371.0
 165.0   8750.0   3750.0  23.416954     0.0  371.0
 166.0   9250.0   3750.0  31.832625     0.0  371.0
 167.0   9750.0   3750.0  38.341743     0.0  371.0
 179.0   5250.0   4250.0   1.262510     0.0  371.0
 180.0   5750.0   4250.0   2.100459     0.0  371.0
 181.0   6250.0   4250.0   2.536094     0.0  371.0
 182.0   6750.0   4250.0   3.074062     0.0  371.0
 183.0   7250.0   4250.0   4.865511     0.0  371.0
 184.0   7750.0   4250.0  11.381756     0.0  371.0
 198.0   4250.0   4750.0   1.193678     0.0  371.0
 199.0   4750.0   4750.0   1.719610     0.0  371.0
 200.0   5250.0   4750.0   2.041311     0.0  371.0
 201.0   5750.0   4750.0   2.317567     0.0  371.0
 202.0   6250.0   4750.0   3.422083     0.0  371.0
 204.0   7250.0   4750.0   7.329047     0.0  371.0
 205.0   7750.0   4750.0  13.151698     0.0  371.0
 217.0   3250.0   5250.0   2.049023     0.0  371.0
 218.0   3750.0   5250.0   1.782667     0.0  371.0
 219.0   4250.0   5250.0   1.985613     0.0  371.0
 220.0   4750.0   5250.0   2.318043     0.0  371.0
 221.0   5250.0   5250.0   2.880615     0.0  371.0
 222.0   5750.0   5250.0   3.683615     0.0  371.0
 224.0   6750.0   5250.0   5.363145     0.0  371.0
 225.0   7250.0   5250.0   8.024775     0.0  371.0
 226.0   7750.0   5250.0  11.450063     0.0  371.0
 233.0    750.0   5750.0   2.026280     0.0  371.0
 235.0   1750.0   5750.0   1.348408     0.0  371.0
 236.0   2250.0   5750.0   1.754134     0.0  371.0
 237.0   2750.0   5750.0   1.950522     0.0  371.0
 238.0   3250.0   5750.0   3.009970     0.0  371.0
 239.0   3750.0   5750.0   2.520247     0.0  371.0
 240.0   4250.0   5750.0   2.000000     0.0  371.0
 241.0   4750.0   5750.0   3.540968     0.0  371.0
 242.0   5250.0   5750.0   6.321430     0.0  371.0
 243.0   5750.0   5750.0   5.356901     0.0  371.0
 244.0   6250.0   5750.0   3.886700     0.0  371.0
 245.0   6750.0   5750.0   4.590856     0.0  371.0
 246.0   7250.0   5750.0  10.118974     0.0  371.0
 247.0   7750.0   5750.0  17.335826     0.0  371.0
 253.0    250.0   6250.0   2.233050     0.0  371.0
 254.0    750.0   6250.0   2.388600     0.0  371.0
 255.0   1250.0   6250.0   2.654608     0.0  371.0
 256.0   1750.0   6250.0   3.183943     0.0  371.0
 257.0   2250.0   6250.0   3.089889     0.0  371.0
 258.0   2750.0   6250.0   2.998294     0.0  371.0
 259.0   3250.0   6250.0   2.897265     0.0  371.0
 260.0   3750.0   6250.0   2.115867     0.0  371.0
 261.0   4250.0   6250.0   2.036327     0.0  371.0
 262.0   4750.0   6250.0   3.400952     0.0  371.0
 263.0   5250.0   6250.0  10.481888     0.0  371.0
 264.0   5750.0   6250.0   9.356490     0.0  371.0
 265.0   6250.0   6250.0   3.105488     0.0  371.0
 266.0   6750.0   6250.0   7.978698     0.0  371.0
 267.0   7250.0   6250.0  16.862254     0.0  371.0
 268.0   7750.0   6250.0  30.945775     0.0  371.0
 274.0    250.0   6750.0   1.843129     0.0  371.0
 275.0    750.0   6750.0   2.221655     0.0  371.0
 276.0   1250.0   6750.0   3.059982     0.0  371.0
 277.0   1750.0   6750.0   4.448526     0.0  371.0
 278.0   2250.0   6750.0   4.101015     0.0  371.0
 279.0   2750.0   6750.0   4.011675     0.0  371.0
 280.0   3250.0   6750.0   3.678269     0.0  371.0
 281.0   3750.0   6750.0   2.414567     0.0  371.0
 282.0   4250.0   6750.0   2.382559     0.0  371.0
 283.0   4750.0   6750.0   2.614354     0.0  371.0
 284.0   5250.0   6750.0   5.502499     0.0  371.0
 285.0   5750.0   6750.0   4.060634     0.0  371.0
 286.0   6250.0   6750.0   3.579044     0.0  371.0
 287.0   6750.0   6750.0  19.949186     0.0  371.0
 288.0   7250.0   6750.0  14.642415     0.0  371.0
 289.0   7750.0   6750.0  18.616000     0.0  371.0
